pumpControl,pressure,state
6,4,normal
88,100,overload
91,100,overload
93,100,overload
69,58,normal
36,24,normal
95,100,overload
96,79,normal
0,0,normal
70,14,hose_break
84,84,normal
74,70,normal
77,63,normal
66,65,normal
61,59,normal
8,0,normal
41,36,normal
41,34,normal
11,4,normal
81,73,normal
30,33,normal
7,20,normal
71,63,normal
5,2,normal
29,19,normal
23,29,normal
98,8,hose_break
91,75,normal
83,83,overload
64,56,normal
100,12,hose_break
36,23,normal
89,83,normal
50,66,normal
89,1,hose_break
68,48,normal
77,14,hose_break
83,77,normal
52,60,normal
78,82,overload
85,5,hose_break
13,20,normal
63,50,normal
27,24,normal
71,55,normal
10,20,normal
36,39,normal
31,23,normal
94,17,hose_break
43,36,normal
97,94,normal
77,84,overload
85,100,overload
63,61,normal
67,52,normal
100,100,overload
10,19,normal
78,65,normal
84,93,overload
96,58,normal
46,41,normal
21,4,normal
5,0,normal
77,81,normal
85,73,normal
21,15,normal
97,100,overload
21,28,normal
29,42,normal
13,24,normal
83,95,overload
91,100,overload
20,10,normal
89,71,normal
5,0,normal
11,0,normal
84,76,normal
1,0,normal
1,0,normal
78,84,overload
40,9,normal
53,46,normal
46,41,normal
97,100,normal
31,30,normal
78,71,normal
98,100,normal
12,8,normal
26,25,normal
1,10,normal
52,39,normal
35,41,normal
98,74,normal
85,83,normal
84,7,hose_break
30,33,normal
6,0,normal
48,35,normal
75,60,normal
99,100,overload
99,15,hose_break
100,100,overload
7,6,normal
36,25,normal
14,6,normal
62,59,normal
78,92,overload
81,59,normal
68,76,normal
81,92,overload
29,23,normal
87,97,overload
6,11,normal
78,80,overload
96,84,normal
53,47,normal
68,44,normal
7,14,normal
86,91,overload
89,95,overload
79,86,overload
44,44,normal
24,25,normal
97,87,normal
26,26,normal
44,32,normal
62,57,normal
99,94,normal
91,76,normal
95,85,normal
98,93,normal
76,67,normal
93,96,overload
24,35,normal
16,26,normal
57,51,normal
1,16,normal
0,6,normal
23,18,normal
64,50,normal
85,65,normal
73,64,normal
2,0,normal
87,91,overload
29,29,normal
40,22,normal
76,52,normal
92,83,normal
36,38,normal
79,75,normal
36,16,normal
92,97,overload
92,76,normal
10,0,normal
3,3,normal
3,4,normal
28,23,normal
95,70,normal
58,72,normal
52,38,normal
35,41,normal
90,95,normal
84,9,hose_break
20,13,normal
59,47,normal
86,67,normal
20,18,normal
41,43,normal
95,16,hose_break
33,40,normal
66,66,normal
15,14,normal
82,95,overload
42,44,normal
5,0,normal
100,100,overload
82,85,overload
23,32,normal
85,84,normal
85,88,overload
71,51,normal
82,69,normal
98,100,overload
81,87,normal
66,42,normal
7,24,normal
16,18,normal
78,75,normal
4,4,normal
26,7,normal
72,72,normal
76,68,normal
88,92,overload
37,44,normal
46,51,normal
93,94,normal
87,87,normal
78,16,hose_break
19,4,normal
98,75,normal
86,87,normal
56,59,normal
99,96,overload
16,13,normal
79,63,normal
2,16,normal
84,74,normal
81,91,overload
71,65,normal
97,100,normal
5,22,normal
87,78,normal
18,18,normal
85,100,overload
78,80,overload
88,69,normal
67,53,normal
63,64,normal
57,51,normal
29,19,normal
30,39,normal
80,14,hose_break
40,20,normal
6,0,normal
43,48,normal
92,99,overload
37,31,normal
95,99,normal
63,68,normal
20,33,normal
10,4,normal
82,87,overload
100,1,hose_break
88,88,overload
79,94,overload
71,57,normal
83,6,hose_break
40,27,normal
48,36,normal
81,93,overload
97,74,normal
90,98,overload
9,9,normal
60,68,normal
27,36,normal
1,12,normal
90,100,overload
31,34,normal
87,62,normal
99,100,overload
90,100,overload
70,54,normal
75,90,overload
58,48,normal
96,70,normal
40,32,normal
67,64,normal
98,79,normal
75,66,normal
92,66,normal
43,34,normal
73,65,normal
61,54,normal
91,100,overload
9,0,normal
20,21,normal
1,6,normal
25,15,normal
81,84,overload
6,22,normal
90,97,overload
67,64,normal
83,79,normal
94,70,normal
62,57,normal
75,69,normal
6,22,normal
37,34,normal
54,56,normal
27,32,normal
67,57,normal
79,92,normal
25,14,normal
71,47,normal
65,38,normal
94,79,normal
2,0,normal
30,20,normal
49,44,normal
93,86,normal
41,33,normal
66,52,normal
16,9,normal
7,11,normal
89,69,normal
82,66,normal
29,29,normal
31,28,normal
54,32,normal
36,42,normal
95,100,overload
79,18,hose_break
96,74,normal
88,89,overload
95,96,normal
50,23,normal
19,21,normal
84,84,normal
86,73,normal
61,70,normal
16,4,normal
70,68,normal
23,21,normal
16,31,normal
8,4,normal
35,35,normal
10,10,normal
88,4,hose_break
76,80,overload
85,89,overload
96,79,normal
91,89,overload
43,52,normal
89,100,overload
17,25,normal
85,8,hose_break
97,100,overload
11,32,normal
61,51,normal
14,4,normal
92,98,overload
98,100,overload
20,0,normal
75,83,overload
80,71,normal
56,42,normal
63,45,normal
75,86,overload
73,78,normal
82,75,normal
96,95,overload
79,69,normal
86,96,overload
97,9,hose_break
72,7,hose_break
81,69,normal
91,79,normal
54,58,normal
97,89,normal
7,0,normal
37,30,normal
100,100,overload
87,6,hose_break
22,7,normal
6,0,normal
37,50,normal
92,99,overload
71,61,normal
0,21,normal
95,100,overload
6,20,normal
77,83,normal
75,71,normal
81,61,normal
67,60,normal
62,48,normal
19,22,normal
89,83,normal
76,70,normal
60,61,normal
58,55,normal
63,55,normal
72,52,normal
27,17,normal
24,11,normal
21,27,normal
51,44,normal
18,18,normal
38,29,normal
83,85,normal
27,30,normal
69,63,normal
64,57,normal
83,87,overload
70,56,normal
22,4,normal
90,16,hose_break
95,100,overload
76,58,normal
43,53,normal
3,0,normal
56,55,normal
3,0,normal
98,100,overload
98,100,overload
100,100,overload
83,70,normal
89,100,overload
76,89,overload
81,64,normal
97,100,overload
78,83,overload
75,88,overload
57,45,normal
31,15,normal
75,85,overload
77,82,normal
76,86,overload
84,86,normal
63,76,normal
87,94,normal
100,100,normal
94,100,overload
39,30,normal
80,91,overload
93,85,normal
34,15,normal
100,91,normal
99,100,normal
93,100,overload
59,52,normal
68,54,normal
68,66,normal
16,12,normal
50,56,normal
65,69,normal
27,28,normal
60,43,normal
18,12,normal
92,100,overload
84,80,normal
70,76,normal
84,65,normal
40,66,normal
78,80,overload
93,89,normal
58,34,normal
5,15,normal
75,80,overload
61,53,normal
88,82,normal
21,26,normal
87,76,normal
74,68,normal
28,28,normal
46,42,normal
85,74,normal
6,0,normal
98,91,normal
94,87,normal
77,81,overload
80,87,overload
23,3,normal
77,83,overload
16,0,normal
94,6,hose_break
82,87,overload
23,16,normal
84,89,overload
68,57,normal
34,33,normal
97,97,overload
89,97,overload
81,75,normal
88,91,overload
78,80,overload
85,1,hose_break
86,98,overload
30,15,normal
93,90,overload
58,63,normal
87,85,normal
31,40,normal
99,90,normal
89,68,normal
49,39,normal
74,33,normal
84,60,normal
36,29,normal
80,9,hose_break
77,79,normal
12,13,normal
90,92,overload
49,31,normal
55,56,normal
37,24,normal
89,99,overload
18,7,normal
79,83,overload
83,78,normal
100,100,overload
57,47,normal
80,62,normal
37,34,normal
85,68,normal
80,77,normal
22,10,normal
22,16,normal
26,28,normal
0,2,normal
91,100,overload
75,66,normal
35,19,normal
9,16,normal
4,3,normal
29,19,normal
91,74,normal
47,58,normal
79,85,overload
49,63,normal
100,75,normal
77,81,normal
79,85,overload
3,0,normal
88,91,overload
62,56,normal
85,1,hose_break
3,11,normal
55,61,normal
16,12,normal
2,0,normal
5,1,normal
73,68,normal
28,16,normal
17,27,normal
39,30,normal
75,70,normal
81,86,overload
68,68,normal
85,94,overload
6,20,normal
23,22,normal
34,35,normal
26,25,normal
61,43,normal
85,87,normal
95,88,normal
82,92,overload
28,35,normal
91,100,overload
100,79,normal
7,0,normal
44,31,normal
84,63,normal
94,79,normal
93,72,normal
6,0,normal
97,90,normal
86,86,overload
87,95,overload
66,67,normal
90,100,overload
91,87,normal
5,11,normal
0,6,normal
41,25,normal
40,33,normal
69,68,normal
27,19,normal
34,25,normal
43,40,normal
29,43,normal
49,51,normal
43,22,normal
16,15,normal
91,71,normal
83,95,overload
94,97,normal
82,92,normal
98,100,overload
40,40,normal
10,14,normal
58,41,normal
100,100,overload
21,20,normal
74,59,normal
3,6,normal
10,29,normal
17,0,normal
94,90,normal
96,100,overload
35,36,normal
5,5,normal
84,4,hose_break
90,97,overload
25,3,normal
83,84,normal
82,52,normal
36,29,normal
81,62,normal
8,0,normal
84,9,hose_break
84,70,normal
81,59,normal
83,66,normal
82,80,overload
99,100,overload
3,22,normal
87,89,overload
92,99,overload
98,100,normal
76,86,overload
85,94,overload
94,75,normal
66,57,normal
55,43,normal
40,40,normal
61,59,normal
37,28,normal
35,28,normal
41,48,normal
7,19,normal
39,31,normal
95,0,hose_break
85,91,overload
79,87,overload
77,10,hose_break
94,100,overload
96,89,normal
94,82,normal
92,96,normal
85,100,overload
75,87,normal
83,14,hose_break
83,78,normal
78,86,overload
85,89,normal
43,46,normal
25,20,normal
85,100,normal
31,1,normal
57,49,normal
27,23,normal
70,19,hose_break
97,100,normal
34,23,normal
67,73,normal
26,18,normal
100,100,overload
66,56,normal
92,100,overload
76,6,hose_break
89,92,overload
42,34,normal
85,91,overload
76,59,normal
1,0,normal
66,48,normal
23,24,normal
2,0,normal
87,73,normal
93,77,normal
76,83,overload
89,96,overload
58,51,normal
1,0,normal
4,13,normal
90,100,overload
54,47,normal
78,14,hose_break
27,21,normal
55,57,normal
76,89,overload
95,100,overload
22,26,normal
93,78,normal
77,80,overload
87,72,normal
77,88,overload
76,80,overload
49,24,normal
85,90,overload
53,50,normal
95,98,overload
76,66,normal
27,22,normal
36,49,normal
5,0,normal
3,18,normal
80,83,overload
64,62,normal
90,77,normal
30,22,normal
81,81,overload
67,65,normal
83,84,normal
40,40,normal
84,88,overload
67,56,normal
100,87,normal
79,89,overload
87,17,hose_break
29,37,normal
87,89,overload
43,56,normal
33,41,normal
20,20,normal
94,93,normal
56,55,normal
78,76,normal
25,15,normal
97,100,overload
68,70,normal
60,70,normal
58,61,normal
43,47,normal
22,12,normal
69,68,normal
75,54,normal
22,30,normal
4,6,normal
74,63,normal
93,62,normal
33,26,normal
8,6,normal
81,89,overload
43,35,normal
55,44,normal
67,51,normal
97,100,normal
50,64,normal
7,8,normal
80,18,hose_break
41,28,normal
14,2,normal
53,58,normal
70,64,normal
68,62,normal
68,60,normal
75,83,overload
27,30,normal
64,46,normal
59,64,normal
56,37,normal
34,22,normal
40,38,normal
73,61,normal
75,83,overload
71,50,normal
75,80,overload
54,54,normal
8,34,normal
55,63,normal
39,19,normal
24,18,normal
9,1,normal
17,14,normal
88,98,overload
88,73,normal
30,37,normal
40,48,normal
83,97,overload
13,2,normal
58,55,normal
93,100,overload
97,100,overload
50,52,normal
18,30,normal
2,0,normal
62,38,normal
85,73,normal
97,84,normal
10,34,normal
54,42,normal
72,1,hose_break
10,20,normal
23,43,normal
64,77,normal
25,22,normal
31,36,normal
81,75,normal
58,44,normal
64,71,normal
47,48,normal
56,41,normal
81,18,hose_break
70,6,hose_break
5,12,normal
33,39,normal
68,75,normal
45,34,normal
41,39,normal
100,100,overload
38,32,normal
51,40,normal
79,80,overload
40,29,normal
11,7,normal
82,13,hose_break
83,12,hose_break
6,14,normal
95,18,hose_break
65,82,normal
58,46,normal
40,27,normal
85,91,overload
16,5,normal
5,11,normal
55,59,normal
58,54,normal
83,92,overload
8,21,normal
57,49,normal
29,34,normal
78,84,overload
60,42,normal
77,90,overload
8,10,normal
48,54,normal
79,75,normal
27,29,normal
76,80,overload
85,100,overload
94,89,normal
92,100,overload
96,85,normal
2,0,normal
13,20,normal
83,12,hose_break
38,35,normal
91,76,normal
38,31,normal
4,0,normal
96,100,overload
35,43,normal
80,84,normal
63,58,normal
79,55,normal
96,100,normal
54,35,normal
91,100,overload
57,65,normal
52,52,normal
22,13,normal
83,3,hose_break
18,18,normal
20,12,normal
40,34,normal
51,22,normal
96,2,hose_break
51,42,normal
6,6,normal
57,43,normal
88,84,normal
4,4,normal
9,29,normal
4,9,normal
95,80,normal
7,14,normal
79,80,overload
36,33,normal
99,92,normal
14,13,normal
38,26,normal
75,83,overload
90,12,hose_break
85,80,overload
75,80,overload
33,30,normal
73,70,normal
